Station Map ID,USGS Station Name,USGS Station Number,Date,Time,Sample Type,Data References,"Mercury, Unfiltered (ng/L)","Mercury, Unfiltered Data Source","Mercury, Filtered (ng/L)","Mercury, Filtered Data Source","Methylmercury, Unfiltered (ng/L)","Methylmercury, Unfiltered Data Source","Methylmercury, Filtered (ng/L)","Methylmercury, Filtered Data Source"
BR-64,SAILOR FLAT E TRIB A MOUTH TO GREENHORN C,3.91611E+14,2/21/2002,12:00,Environmental,NP,8.3,CQ,ND,ND,ND,ND,<0.04,W1
BR-66,TOM JERRY MINE DR A TUNNEL OUTLET NR NEVADA CITY,3.91627E+14,6/28/2000,11:30,Environmental,https://doi.org/10.3133/sir20045251,1.3,C2,ND,ND,<.04,W1,ND,ND
BR-66,TOM JERRY MINE DR A TUNNEL OUTLET NR NEVADA CITY,3.91627E+14,7/30/2002,17:40,Environmental,NP,160,C2,5.9,"C2,W1",2.33,W1,0.89,W1
BR-67,TOM JERRY MINE DR A TUNNEL INLET NR NEVADA CITY CA,3.91627E+14,6/28/2000,12:00,Environmental,https://doi.org/10.3133/sir20045251,26.3,C2,ND,ND,0.18,W1,ND,ND
BR-68,SAILOR FLAT MINE MAIN DR TO GREENHORN CR GULCH 03,3.91615E+14,04-09-01,12:30,Environmental,https://doi.org/10.3133/sir20045251,14.6,C2,10,C2,0.1,W1,0.06,W1
BR-69,SAILOR FLAT MINE MAIN DR GULCH 01 NR QUAKER HILL,3.9162E+14,07-06-99,16:00,Environmental,https://doi.org/10.3133/sir20045251,8.8,C2,1.6,C2,0.3,W1,ND,ND
BR-69,SAILOR FLAT MINE MAIN DR GULCH 01 NR QUAKER HILL,3.9162E+14,12-02-99,14:30,Environmental,https://doi.org/10.3133/sir20045251,"153,000",C2,"3,440",C1,2.64,W1,ND,ND
BR-71,STARR MINE TUNNEL INFLOW NR GRASS VALLEY CA,3.91327E+14,4/23/1999,15:00,Environmental,https://doi.org/10.3133/sir20045251,4.6,C2,0.6,C2,<0.04,W1,ND,ND
BR-72,STARR MINE TUNNEL MIDWAY NR GRASS VALLEY CA,3.91329E+14,4/23/1999,13:40,Environmental,https://doi.org/10.3133/sir20045251,536,C2,4.5,C2,0.79,W1,ND,ND
BR-72,STARR MINE TUNNEL MIDWAY NR GRASS VALLEY CA,3.91329E+14,12/15/1999,10:45,Environmental,https://doi.org/10.3133/sir20045251,1640,C2,4.6,C2,0.78,W1,ND,ND
BR-73,STARR MINE TUNNEL OUTLET NR GRASS VALLEY CA,3.9133E+14,8/23/2000,17:30,Environmental,https://doi.org/10.3133/sir20045251,465,C2,3.5,C2,0.53,W1,<0.04,W1
BR-73,STARR MINE TUNNEL OUTLET NR GRASS VALLEY CA,3.9133E+14,2/21/2002,16:20,Environmental,NP,"1,100",C2,2.9,C2,1.28,W1,<0.04,W1
BR-74,STARR MINE TUNNEL SW OUTLET NR GRASS VALLEY CA,3.91329E+14,2/21/2002,16:00,Environmental,NP,5.8,C2,2.5,C2,<0.04,W1,<0.04,W1
BR-76,POLAR STAR MINE TUNNEL INLET NR DUTCH FLAT CA,3.91243E+14,05-07-99,12:00,Environmental,NP,41.5,C2,1.6,C2,<0.025,W1,ND,ND
BR-77,POLAR STAR MINE TUNNEL MIDWAY NR DUTCH FLAT CA,3.91245E+14,05-07-99,10:30,Environmental,NP,209,C2,7.1,C2,0.05,W1,ND,ND
BR-78,POLAR STAR MINE TUNNEL DISCHARGE NR DUTCH FLAT CA,3.91247E+14,05-07-99,9:30,Environmental,NP,728,C2,20,C2,0.22,W1,ND,ND
BR-78,POLAR STAR MINE TUNNEL DISCHARGE NR DUTCH FLAT CA,3.91247E+14,5/27/1999,10:30,Environmental,NP,"1,120",C2,59,C2,0.41,W1,ND,ND
BR-78,POLAR STAR MINE TUNNEL DISCHARGE NR DUTCH FLAT CA,3.91247E+14,2/13/2001,10:20,Environmental,NP,11.2,C2,2.8,C2,0.04,W1,<0.04,W1
BR-78,POLAR STAR MINE TUNNEL DISCHARGE NR DUTCH FLAT CA,3.91247E+14,12/21/2001,9:00,Environmental,NP,ND,ND,ND,ND,<0.04,W1,<0.04,W1
BR-79,POLAR STAR MINE BORROW PIT NR DUTCH FLAT CA,3.9125E+14,08-03-00,15:30,Environmental,NP,2.9,C2,0.8,C2,0.14,W1,ND,ND
