Station Map ID,USGS Station Name,USGS Station Number,Date ,Time,Sample Type,Data References,"Total Mercury, Dry (ng/g)",Total Mercury Data Source,"Methylmercury, Dry (ng/g)",Methylmercury Data Source,Loss On Ignition (percent)
SY-15,ANCHO ERIE DRAINAGE A POORMAN C NR WASHINGTON CA,392512120453201,07/31/2002,12:00,Environmental,NP,"6,720",W1,21.2,W1,12.1
SY-15,ANCHO ERIE DRAINAGE A POORMAN C NR WASHINGTON CA,392512120453201,07/31/2002,12:00,Environmental,NP,"11,700",C1,0,0,0
SY-16,POORMAN C BL ANCHO ERIE MINE DRAIN NR WASHINGTON,392513120453301,07/31/2002,11:40,Environmental,NP,"1,170",W1,4.70,W1,5.57
SY-16,POORMAN C BL ANCHO ERIE MINE DRAIN NR WASHINGTON,392513120453301,07/31/2002,11:40,Environmental,NP,"6,180",C1,0,0,0
SY-16,POORMAN C BL ANCHO ERIE MINE DRAIN NR WASHINGTON,392513120453301,07/31/2002,11:41,Field Replicate,NP,"6,370",C1,0,0,0
SY-17,GRIZZLY HILL TUNNEL OUTLET NR NORTH BLOOMFIELD CA,392014120581601,03/16/2003,12:00,Environmental,NP,510,W1,0.11,W1,6.14
SY-17,GRIZZLY HILL TUNNEL OUTLET NR NORTH BLOOMFIELD CA,392014120581601,03/16/2003,12:00,Environmental,NP,864,C1,0,0,0
SY-17,GRIZZLY HILL TUNNEL OUTLET NR NORTH BLOOMFIELD CA,392014120581601,03/16/2003,12:01,Field Replicate,NP,880,C1,0,0,0
SY-19,LE DU MINE TUNNEL DISCHARGE NR NORTH BLOOMFIELD CA,392151120542901,02/05/2002,12:00,Environmental,NP,150,W1,0.12,W1,8.09
SY-20,CRYSTAL HILL MINE POND NR NORTH BLOOMFIELD CA,392159120544101,02/05/2002,15:00,Environmental,NP,80.7,W1,<0.05,W1,7.78
SY-22,MALAKOFF DIGGINGS FLOODED RED SHAFT NR N BLMFLD,392155120551601,04/28/1999,16:00,Environmental,NP,100,C1,0,0,10.4
SY-22,MALAKOFF DIGGINGS FLOODED RED SHAFT NR N BLMFLD,392155120551601,12/01/1999,14:00,Environmental,NP,78.0,W1,<0.26,W1,18.0
SY-24,MALAKOFF DIGGINGS POND NR NORTH BLOOMFIELD CA,392201120552301,11/12/1999,16:55,Environmental,NP,"26,900",W1,30.8,W1,26.6
SY-25,MALAKOFF DIGGINGS LK CITY TNNL DISCH NR N BLMFLD,392111120552501,07/07/1999,13:00,Environmental,NP,670,C1,0,0,15.2
SY-27,MALAKOFF DIGGINGS N BLMFLD TNNL DISCH NR N BLMFLD,392051120553501,07/07/1999,11:30,Environmental,NP,190,C1,<0.24,W1,9.68
SY-29,RELIEF HILL DEEP BLUE TNNL OUTFLOW NR N BLOOMFIELD,392126120510201,05/20/1999,12:00,Environmental,NP,150,C1,0.18,W1,5.4
SY-30,RELIEF HILL HYDR PIT MINE DR TNNL NR N BLOOMFIELD,392111120511301,09/01/1999,12:00,Environmental,NP,424,W1,7.39,W1,31.8
SY-31,RELIEF HILL UPPER POND NR NORTH BLOOMFIELD CA,392120120511801,07/30/2002,15:00,Environmental,NP,73.2,W1,0.29,W1,12.0
SY-31,RELIEF HILL UPPER POND NR NORTH BLOOMFIELD CA,392120120511801,07/30/2002,15:00,Environmental,NP,67.0,C1,0,0,0
SY-32,RELIEF HILL POND NR RELIEF HILL CA,392119120512201,07/30/2002,13:00,Environmental,NP,19.5,W1,0.31,W1,0
SY-32,RELIEF HILL POND NR RELIEF HILL CA,392119120512201,07/30/2002,13:00,Environmental,NP,124,C1,0,0,0
SY-33,LITTLE ROCK C .05 MI BL BLUE TENT RD NR NEVADA CTY,391726120591401,07/09/2003,15:30,Environmental,NP,200,F1,0.88,F1,0
SY-34,LITTLE ROCK C .1 MI BL BLUE TENT RD NR NEVADA CITY,391727120591501,07/09/2003,15:00,Environmental,NP,337,F1,1.23,F1,0
SY-35,LITTLE ROCK C .2 MI BL BLUE TENT RD NR NEVADA CITY,391728120592201,07/09/2003,14:30,Environmental,NP,23.6,F1,0.08,F1,0
SY-36,LITTLE ROCK C .9 MI BL BLUE TENT RD NR NEVADA CITY,391742120593801,07/12/2003,10:40,Environmental,NP,178,F1,1.50,F1,0
SY-37,LITTLE ROCK C AB ROCK C NR NEVADA CITY CA,391759120594201,07/12/2003,14:30,Environmental,NP,112,F1,0.91,F1,0
SY-38,ROCK C AB LITTLE ROCK C NR NEVADA CITY CA,391756120594501,07/12/2003,14:00,Environmental,NP,149,F1,1.03,F1,0
SY-39,ROCK C A ROCK C RD NR NEVADA CITY CA,391810121001601,07/10/2003,12:40,Environmental,NP,95.9,F1,1.53,F1,0
SY-40,LAKE VERA ROCK C ARM NR NEVADA CITY CA,391803121012901,07/09/2003,13:00,Environmental,NP,116,F1,0.67,F1,0
SY-41,LAKE VERA IN THALWEG NR DAM NR NEVADA CITY CA,391807121014001,07/09/2003,14:00,Environmental,NP,49.3,F1,0.44,F1,0
SY-42,LAKE VERA S SHORE NR NEVADA CITY CA,391802121014001,07/09/2003,12:00,Environmental,NP,54.4,F1,0.09,F1,0
SY-44,S YUBA R AB LANGS CROSSING NR EMIGRANT GAP CA,391911120392201,10/31/2002,10:40,Environmental,NP,115,W1,5.92,W1,30.1
SY-44,S YUBA R AB LANGS CROSSING NR EMIGRANT GAP CA,391911120392201,09/07/2011,0,Environmental,https://doi.org/10.3133/ds1056,E6.4,N1,0.07,N1,0.70
SY-44,S YUBA R AB LANGS CROSSING NR EMIGRANT GAP CA,391911120392201,09/20/2012,0,Environmental,https://doi.org/10.3133/ds1056,E8.0,N1,E0.022,N1,0.70
SY-45,S YUBA R BL POORMAN C NR WASHINGTON CA,392119120484901,11/05/2002,15:00,Environmental,NP,496,W1,0.63,W1,8.74
SY-45,S YUBA R BL POORMAN C NR WASHINGTON CA,392119120484901,09/07/2011,0,Environmental,https://doi.org/10.3133/ds1056,178,N1,0.31,N1,0.60
SY-46,S YUBA R A MISSOURI BAR NR NEVADA CITY CA,392025120532201,10/29/2002,11:00,Environmental,NP,392,W1,26.2,W1,39.6
SY-48,S YUBA R AB PURDON CROSSING NR NEVADA CITY CA,391938121022901,10/21/2002,10:30,Environmental,NP,171,W1,5.70,W1,7.81
SY-50,S YUBA R A BRIDGEPORT CA,391734121112501,10/23/2002,13:30,Environmental,NP,406,W1,9.03,W1,14.0
SY-51,SAILOR FLAT MINE E DR GULCH NR NEVADA CITY CA,391940120574901,08/24/1999,11:45,Environmental,NP,0,0,0,0,26.2
SY-52,BLUE HOLE LK A SAILOR FLAT MINE NR NEVADA CITY CA,391937120575301,08/24/1999,11:00,Environmental,NP,7.1,C1,0.03,W1,0.71
SY-56,BIRCHVILLE POND NR FRENCH CORRAL CA,391937121090201,02/05/2002,16:30,Environmental,NP,9.4,W1,<0.06,W1,2.47
TR-01,EF TRINITY R A HORSE HEAVEN MDW NR MT SHASTA CA,410928122271201,08/13/2002,12:30,Environmental,NP,78.5,W1,0.79,W1,9.97
TR-01,EF TRINITY R A HORSE HEAVEN MDW NR MT SHASTA CA,410928122271201,08/13/2002,12:30,Environmental,NP,169,C1,0,0,0
TR-01,EF TRINITY R A HORSE HEAVEN MDW NR MT SHASTA CA,410928122271201,08/13/2002,12:31,Field Replicate,NP,222,C1,0,0,0
TR-02,TAMARACK C A EF TRINITY R NR MT SHASTA CA,410916122273801,08/13/2002,13:00,Environmental,NP,7.3,W1,0.03,W1,1.97
TR-02,TAMARACK C A EF TRINITY R NR MT SHASTA CA,410916122273801,08/13/2002,13:00,Environmental,NP,70.0,C1,0,0,0
TR-03,CROW C AB CONFLUENCE OF EF TRINITY R NR TRINITY CE,410740122315401,08/13/2002,11:00,Environmental,NP,563,W1,0.27,W1,3.37
TR-03,CROW C AB CONFLUENCE OF EF TRINITY R NR TRINITY CE,410740122315401,08/13/2002,11:00,Environmental,NP,585,C1,0,0,0
TR-05,ALTOONA MINE DR A EF TRINITY R NR TRINITY CENTER,410734122321601,08/13/2002,14:00,Environmental,NP,"13,200",W1,0.79,W1,5.77
TR-05,ALTOONA MINE DR A EF TRINITY R NR TRINITY CENTER,410734122321601,08/13/2002,14:00,Environmental,NP,"179,000",C1,0,0,0
TR-06,EF TRINITY R BL ALTOONA MINE DR NR TRINITY CENTER,410731122321801,08/13/2002,10:30,Environmental,NP,371,W1,0.66,W1,2.44
TR-06,EF TRINITY R BL ALTOONA MINE DR NR TRINITY CENTER,410731122321801,08/13/2002,10:30,Environmental,NP,"3,620",C1,0,0,0
TR-08,EF TRINITY R 1.2 MI BL DEVILS C NR TRINITY CENTER,410259122355201,08/12/2002,13:00,Environmental,NP,205,W1,<0.01,W1,1.48
TR-08,EF TRINITY R 1.2 MI BL DEVILS C NR TRINITY CENTER,410259122355201,08/12/2002,13:00,Environmental,NP,"17,100",C1,0,0,0
TR-09,EF TRINITY R BL COUNTY RD 106 NR TRINITY CENTER CA,410031122370901,08/12/2002,10:00,Environmental,NP,254,W1,0.27,W1,1.41
TR-09,EF TRINITY R BL COUNTY RD 106 NR TRINITY CENTER CA,410031122370901,08/12/2002,10:00,Environmental,NP,"6,970",C1,0,0,0
TR-11,TRINITY R A BIG FLAT DAY USE AREA NR BIG BAR CA,404427123125701,08/27/2002,14:30,Environmental,NP,10.2,W1,0.17,W1,1.16
TR-11,TRINITY R A BIG FLAT DAY USE AREA NR BIG BAR CA,404427123125701,08/27/2002,14:30,Environmental,NP,110,C1,0,0,0
